time,total_flow
2025-06-03 00:00:00,118.43
2025-06-03 00:10:00,114.92
2025-06-03 00:20:00,124.2275
2025-06-03 00:30:00,124.4815
2025-06-03 00:40:00,121.6035
2025-06-03 00:50:00,124.1265
2025-06-03 01:00:00,103.154
2025-06-03 01:10:00,102.40899999999999
2025-06-03 01:20:00,109.98949999999999
2025-06-03 01:30:00,123.10050000000001
2025-06-03 01:40:00,122.679
2025-06-03 01:50:00,121.5455
2025-06-03 02:00:00,119.119
2025-06-03 02:10:00,114.994
2025-06-03 02:20:00,119.93
2025-06-03 02:30:00,119.718
2025-06-03 02:40:00,120.1335
2025-06-03 02:50:00,120.3545
2025-06-03 03:00:00,122.02449999999999
2025-06-03 03:10:00,113.876
2025-06-03 03:20:00,107.6315
2025-06-03 03:30:00,107.509
2025-06-03 03:40:00,104.713
2025-06-03 03:50:00,101.7975
2025-06-03 04:00:00,103.2315
2025-06-03 04:10:00,113.7025
2025-06-03 04:20:00,114.99249999999999
2025-06-03 04:30:00,104.54350000000001
2025-06-03 04:40:00,102.27250000000001
2025-06-03 04:50:00,106.56649999999999
2025-06-03 05:00:00,101.38499999999999
2025-06-03 05:10:00,94.161
2025-06-03 05:20:00,100.249
2025-06-03 05:30:00,92.718
2025-06-03 05:40:00,85.423
2025-06-03 05:50:00,83.568
2025-06-03 06:00:00,81.701
2025-06-03 06:10:00,84.10849999999999
2025-06-03 06:20:00,87.0605
2025-06-03 06:30:00,96.818
2025-06-03 06:40:00,126.8205
2025-06-03 06:50:00,127.07750000000001
2025-06-03 07:00:00,132.3045
2025-06-03 07:10:00,134.113
2025-06-03 07:20:00,138.1825
2025-06-03 07:30:00,134.67000000000002
2025-06-03 07:40:00,134.5725
2025-06-03 07:50:00,137.93099999999998
2025-06-03 08:00:00,144.904
2025-06-03 08:10:00,140.074
2025-06-03 08:20:00,139.5725
2025-06-03 08:30:00,139.0335
2025-06-03 08:40:00,142.15300000000002
2025-06-03 08:50:00,135.325
2025-06-03 09:00:00,139.7915
2025-06-03 09:10:00,141.639
2025-06-03 09:20:00,136.4415
2025-06-03 09:30:00,140.0925
2025-06-03 09:40:00,141.75
2025-06-03 09:50:00,142.8955
2025-06-03 10:00:00,142.4055
2025-06-03 10:10:00,142.6005
2025-06-03 10:20:00,144.7345
2025-06-03 10:30:00,141.413
2025-06-03 10:40:00,125.73
2025-06-03 10:50:00,119.7355
2025-06-03 11:00:00,124.648
2025-06-03 11:10:00,141.939
2025-06-03 11:20:00,140.534
2025-06-03 11:30:00,139.949
2025-06-03 11:40:00,131.561
2025-06-03 11:50:00,140.8515
2025-06-03 12:00:00,140.442
2025-06-03 12:10:00,138.164
2025-06-03 12:20:00,139.55
2025-06-03 12:30:00,143.3985
2025-06-03 12:40:00,138.2745
2025-06-03 12:50:00,137.632
2025-06-03 13:00:00,139.446
2025-06-03 13:10:00,140.6655
2025-06-03 13:20:00,140.427
2025-06-03 13:30:00,136.0205
2025-06-03 13:40:00,127.9615
2025-06-03 13:50:00,119.95850000000002
2025-06-03 14:00:00,104.21900000000001
2025-06-03 14:10:00,99.895
2025-06-03 14:20:00,126.47
2025-06-03 14:30:00,138.9695
2025-06-03 14:40:00,141.537
2025-06-03 14:50:00,139.8335
2025-06-03 15:00:00,135.86849999999998
2025-06-03 15:10:00,133.707
2025-06-03 15:20:00,145.635
2025-06-03 15:30:00,141.7955
2025-06-03 15:40:00,143.585
2025-06-03 15:50:00,147.966
2025-06-03 16:00:00,146.5435
2025-06-03 16:10:00,145.048
2025-06-03 16:20:00,144.691
2025-06-03 16:30:00,144.373
2025-06-03 16:40:00,143.5075
2025-06-03 16:50:00,144.447
2025-06-03 17:00:00,148.72050000000002
2025-06-03 17:10:00,138.5875
2025-06-03 17:20:00,136.343
2025-06-03 17:30:00,133.03
2025-06-03 17:40:00,131.2315
2025-06-03 17:50:00,133.6905
2025-06-03 18:00:00,135.789
2025-06-03 18:10:00,139.692
2025-06-03 18:20:00,143.5635
2025-06-03 18:30:00,139.60399999999998
2025-06-03 18:40:00,146.98399999999998
2025-06-03 18:50:00,139.176
2025-06-03 19:00:00,145.994
2025-06-03 19:10:00,142.674
2025-06-03 19:20:00,133.8785
2025-06-03 19:30:00,146.8995
2025-06-03 19:40:00,144.334
2025-06-03 19:50:00,141.69650000000001
2025-06-03 20:00:00,133.0375
2025-06-03 20:10:00,127.90549999999999
2025-06-03 20:20:00,128.6705
2025-06-03 20:30:00,134.2865
2025-06-03 20:40:00,136.9535
2025-06-03 20:50:00,134.1195
2025-06-03 21:00:00,133.2335
2025-06-03 21:10:00,128.0045
2025-06-03 21:20:00,125.6325
2025-06-03 21:30:00,116.534
2025-06-03 21:40:00,102.412
2025-06-03 21:50:00,94.6975
2025-06-03 22:00:00,91.87849999999999
2025-06-03 22:10:00,91.7095
2025-06-03 22:20:00,114.348
2025-06-03 22:30:00,131.228
2025-06-03 22:40:00,133.7415
2025-06-03 22:50:00,137.91750000000002
2025-06-03 23:00:00,133.60500000000002
2025-06-03 23:10:00,137.1705
2025-06-03 23:20:00,132.4975
2025-06-03 23:30:00,136.439
2025-06-03 23:40:00,136.971
2025-06-03 23:50:00,134.39600000000002
2025-06-04 00:00:00,132.8155
2025-06-04 00:10:00,134.4035
2025-06-04 00:20:00,129.076
2025-06-04 00:30:00,134.1035
2025-06-04 00:40:00,132.7665
2025-06-04 00:50:00,130.16649999999998
2025-06-04 01:00:00,127.7355
2025-06-04 01:10:00,128.325
2025-06-04 01:20:00,129.7835
2025-06-04 01:30:00,128.747
2025-06-04 01:40:00,130.25150000000002
2025-06-04 01:50:00,126.56
2025-06-04 02:00:00,131.386
2025-06-04 02:10:00,136.9145
2025-06-04 02:20:00,131.427
2025-06-04 02:30:00,129.899
2025-06-04 02:40:00,129.5625
2025-06-04 02:50:00,121.364
2025-06-04 03:00:00,126.196
2025-06-04 03:10:00,126.5655
2025-06-04 03:20:00,129.3865
2025-06-04 03:30:00,138.044
2025-06-04 03:40:00,134.9315
2025-06-04 03:50:00,132.6085
2025-06-04 04:00:00,141.595
2025-06-04 04:10:00,134.483
2025-06-04 04:20:00,126.8535
2025-06-04 04:30:00,114.19
2025-06-04 04:40:00,116.2875
2025-06-04 04:50:00,113.6425
2025-06-04 05:00:00,114.46549999999999
2025-06-04 05:10:00,99.389
2025-06-04 05:20:00,98.437
2025-06-04 05:30:00,95.4065
2025-06-04 05:40:00,99.69900000000001
2025-06-04 05:50:00,91.17099999999999
2025-06-04 06:00:00,85.60849999999999
2025-06-04 06:10:00,88.0835
2025-06-04 06:20:00,88.2745
2025-06-04 06:30:00,97.741
2025-06-04 06:40:00,124.82650000000001
2025-06-04 06:50:00,130.59550000000002
2025-06-04 07:00:00,133.062
2025-06-04 07:10:00,141.5725
2025-06-04 07:20:00,144.30700000000002
2025-06-04 07:30:00,143.837
2025-06-04 07:40:00,142.497
2025-06-04 07:50:00,145.8025
2025-06-04 08:00:00,150.5965
2025-06-04 08:10:00,144.53300000000002
2025-06-04 08:20:00,143.8395
2025-06-04 08:30:00,143.9765
2025-06-04 08:40:00,146.7755
2025-06-04 08:50:00,138.93349999999998
2025-06-04 09:00:00,140.31
2025-06-04 09:10:00,141.68900000000002
2025-06-04 09:20:00,144.8715
2025-06-04 09:30:00,143.4685
2025-06-04 09:40:00,142.4135
2025-06-04 09:50:00,143.8505
2025-06-04 10:00:00,140.7475
2025-06-04 10:10:00,141.3
2025-06-04 10:20:00,141.352
2025-06-04 10:30:00,146.7235
2025-06-04 10:40:00,129.709
2025-06-04 10:50:00,129.9335
2025-06-04 11:00:00,134.3595
2025-06-04 11:10:00,134.242
2025-06-04 11:20:00,136.487
